drugname,death_patient_count,total_patient_count,death_rate_pct
ACETAMINOPHEN,714.0,1796,39.76
ELIQUIS,668.0,2526,26.44
FENTANYL,574.0,720,79.72
NUPLAZID,497.0,2162,22.99
FARXIGA,463.0,1000,46.3
TAGRISSO,449.0,889,50.51
KEYTRUDA,419.0,2499,16.77
VENCLEXTA,408.0,1284,31.78
CARBIDOPA\LEVODOPA,391.0,1163,33.62
LENALIDOMIDE,351.0,3047,11.52
RITUXIMAB,350.0,1994,17.55
VYNDAMAX,330.0,1031,32.01
IMBRUVICA,309.0,1254,24.64
HUMIRA,295.0,5367,5.5
REVLIMID,277.0,5948,4.66
IMFINZI,264.0,765,34.51
TECENTRIQ,263.0,614,42.83
CLOZARIL,245.0,1090,22.48
ELIGARD,232.0,2718,8.54
OPDIVO,220.0,998,22.04
